approval_id,invoice_id,employee_id,vendor_id,approval_date,invoice_amount,employee_approval_limit,decision,approval_time_hour,is_fraud_ground_truth
APR00001,INV00001,E008,V018,2025-12-23,721279.42,100000,Rejected,17,0
APR00002,INV00002,E017,V013,2026-05-15,417928.88,2500000,Approved,19,0
APR00003,INV00003,E012,V030,2025-07-25,441265.43,2500000,Approved,19,0
APR00004,INV00004,E020,V014,2025-07-04,272960.14,2500000,Approved,9,0
APR00005,INV00005,E015,V016,2026-06-03,331504.74,100000,Rejected,10,0
APR00006,INV00006,E011,V012,2025-05-18,98377.25,2500000,Approved,8,0
APR00007,INV00007,E014,V004,2026-06-15,128994.48,100000,Escalated,19,0
APR00008,INV00008,E019,V002,2025-11-06,433508.08,250000,Rejected,11,0
APR00009,INV00009,E012,V028,2025-02-14,468494.33,2500000,Approved,14,0
APR00010,INV00010,E005,V001,2025-09-07,77095.78,500000,Approved,14,0
APR00011,INV00011,E018,V027,2026-06-13,277215.3,500000,Approved,16,0
APR00012,INV00012,E009,V012,2026-02-19,62565.27,250000,Approved,19,0
APR00013,INV00013,E020,V003,2026-02-28,161534.33,2500000,Approved,12,0
APR00014,INV00014,E012,V026,2025-07-20,177307.03,2500000,Approved,18,0
APR00015,INV00015,E012,V008,2025-12-08,330366.63,2500000,Approved,11,0
APR00016,INV00016,E003,V030,2025-08-12,262685.25,500000,Approved,10,0
APR00017,INV00017,E006,V003,2026-01-13,460590.49,500000,Approved,9,0
APR00018,INV00018,E011,V010,2025-09-06,675116.53,2500000,Approved,12,0
APR00019,INV00019,E008,V004,2026-02-27,84147.26,100000,Approved,15,0
APR00020,INV00020,E019,V019,2025-04-25,530353.49,250000,Rejected,18,0
APR00021,INV00021,E002,V006,2025-10-01,317467.24,2500000,Approved,19,0
APR00022,INV00022,E005,V029,2025-02-13,401314.11,500000,Approved,14,0
APR00023,INV00023,E009,V011,2025-03-13,392051.81,250000,Rejected,13,0
APR00024,INV00024,E010,V013,2026-05-28,497578.87,500000,Approved,10,0
APR00025,INV00025,E019,V016,2025-07-27,343311.98,250000,Escalated,19,1
APR00026,INV00026,E006,V002,2025-02-02,839889.45,500000,Rejected,13,0
APR00027,INV00027,E019,V003,2026-04-12,248476.58,250000,Approved,20,1
APR00028,INV00028,E006,V018,2025-06-16,438092.84,500000,Approved,20,0
APR00029,INV00029,E002,V006,2025-12-27,404114.36,2500000,Approved,17,0
APR00030,INV00030,E013,V027,2026-03-27,118448.66,100000,Escalated,16,0
APR00031,INV00031,E011,V010,2025-07-27,492833.59,2500000,Approved,9,0
